”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2016/11/28,8.42,9.73,8.73,67376000
2016/11/29,8.32,9.29,8.55,71414500
2016/11/30,9.56,11.12,11.01,68969000
2016/12/01,8.54,9.72,9.32,72361000
2016/12/02,9.30,10.63,8.37,66951500
2016/12/03,7.47,7.81,6.93,57615000
2016/12/04,7.24,7.60,6.90,48755500
2016/12/05,8.69,9.69,9.61,67395500
2016/12/06,8.49,9.34,8.75,73179500
2016/12/07,9.25,10.37,10.61,73296500
2016/12/08,9.39,10.04,9.56,73004000
2016/12/09,8.82,9.36,8.40,73546500
2016/12/10,8.61,9.12,8.03,64523500
2016/12/11,8.24,8.69,7.43,61849000
2016/12/12,10.12,11.04,10.76,79951500
2016/12/13,10.00,11.28,11.21,78261500
2016/12/14,11.06,12.37,11.04,67757500
2016/12/15,10.52,11.73,11.12,77812500
2016/12/16,11.18,12.35,10.81,78842500
2016/12/17,9.88,10.20,8.87,64114500
2016/12/18,8.09,8.47,6.72,63930000
2016/12/19,10.11,11.28,10.61,76044000
2016/12/20,10.06,11.28,10.64,75575500
2016/12/21,9.60,10.68,10.79,74603500
2016/12/22,9.10,10.30,10.31,74994500
2016/12/23,7.82,8.49,7.61,71081000
2016/12/24,8.41,9.08,7.81,74361000
2016/12/25,7.35,7.67,6.02,67623000
2016/12/26,10.24,11.83,11.05,73509500
2016/12/27,9.39,10.51,10.91,82278000
2016/12/28,8.85,9.92,8.74,84323000
2016/12/29,7.53,8.09,6.55,74258500
2016/12/30,7.69,8.23,5.95,66637000
2016/12/31,6.68,6.78,5.56,65043000
2017/01/01,6.02,5.81,4.96,60822000
2017/01/02,6.56,6.83,5.87,60310500
2017/01/03,6.43,6.60,5.62,65970500
2017/01/04,7.32,7.85,6.61,63609000
2017/01/05,9.57,10.97,9.92,68608000
2017/01/06,10.03,11.33,10.43,68236500
2017/01/07,9.23,9.57,8.00,62050500
2017/01/08,8.56,9.20,7.43,57764500
2017/01/09,9.13,10.33,7.96,56468000
2017/01/10,9.29,10.41,8.95,76334000
2017/01/11,9.83,11.10,9.34,83589000
2017/01/12,10.10,11.26,9.84,87132000
2017/01/13,10.64,12.03,10.40,80647000
2017/01/14,9.64,10.55,9.28,78140000
2017/01/15,9.58,10.14,7.87,70253000
2017/01/16,12.05,13.93,10.34,72138000
2017/01/17,11.28,12.43,10.61,82460000
2017/01/18,11.00,12.18,10.57,87085500
2017/01/19,10.41,11.40,9.86,90463500
2017/01/20,12.45,14.89,12.26,73416000
2017/01/21,9.72,10.13,8.90,66509500
2017/01/22,9.72,10.06,8.77,62048500
2017/01/23,12.29,14.02,12.04,78934000
2017/01/24,13.24,15.39,11.66,81127000
2017/01/25,13.00,14.69,11.78,80958500
2017/01/26,12.34,14.05,9.82,87641500
2017/01/27,10.54,11.47,10.70,93453000
2017/01/28,9.14,9.39,7.68,63959000
2017/01/29,8.20,8.55,7.22,53764500
2017/01/30,10.92,12.47,9.92,74786000
2017/01/31,10.32,11.28,9.05,87744000
2017/02/01,10.88,11.81,9.96,83558500
2017/02/02,11.20,12.09,9.06,80875500
2017/02/03,10.75,11.32,8.68,85226000
2017/02/04,9.38,9.74,8.05,64845000
2017/02/05,8.99,9.66,7.93,56185000
2017/02/06,10.20,11.11,9.16,81980500
2017/02/07,10.71,11.66,9.83,87843500
2017/02/08,10.97,12.03,9.39,92190000
2017/02/09,13.88,16.61,14.98,74050500
2017/02/10,12.39,14.40,11.58,84683000
2017/02/11,9.76,10.26,8.38,78453500
2017/02/12,9.42,9.90,8.13,68178000
2017/02/13,11.25,12.33,10.18,87698000
2017/02/14,11.63,12.56,10.05,87886000
2017/02/15,11.23,11.77,9.91,89011000
2017/02/16,10.45,10.96,9.02,90859000
2017/02/17,10.11,11.15,10.07,82021000
2017/02/18,9.51,9.96,8.36,72536500
2017/02/19,9.02,9.51,7.31,63899500
2017/02/20,11.37,12.90,11.85,74745000
2017/02/21,10.70,11.48,8.82,88045500
2017/02/22,11.28,12.12,11.63,80000500
2017/02/23,11.42,12.88,11.33,79765000
2017/02/24,11.24,12.32,11.47,79973000
2017/02/25,8.90,8.94,7.37,71747000
2017/02/26,8.53,8.87,7.32,62226000
2017/02/27,10.28,11.24,9.50,87456000
2017/02/28,10.41,11.18,8.55,91697000
2017/03/01,10.05,11.06,10.29,99030500
2017/03/02,10.99,12.84,12.30,84384000
2017/03/03,9.56,9.91,7.78,95055000
2017/03/04,8.62,8.68,7.61,74073500
2017/03/05,8.50,8.78,7.22,59253500
2017/03/06,11.48,13.63,13.92,77002500
2017/03/07,11.28,12.87,12.00,88712000
2017/03/08,10.58,11.12,10.11,99073500
2017/03/09,10.94,11.19,9.30,97555000
2017/03/10,10.50,11.17,9.41,100416000
2017/03/11,8.97,8.95,7.24,81933500
2017/03/12,8.42,8.54,6.75,76440000
2017/03/13,11.07,12.48,11.84,82827500
2017/03/14,10.19,11.01,9.20,93864500
2017/03/15,12.08,14.37,14.54,76294500
2017/03/16,10.55,10.74,8.79,83669000
2017/03/17,10.06,10.45,8.38,93261000
2017/03/18,9.03,8.82,7.09,74448000
2017/03/19,7.82,7.94,6.43,68107500
2017/03/20,8.01,8.42,7.58,69686000
2017/03/21,12.35,15.29,15.65,71139000
2017/03/22,9.30,9.99,8.11,90593500
2017/03/23,10.38,11.58,10.48,88023500
2017/03/24,10.32,11.41,9.62,85318500
2017/03/25,9.01,9.17,7.65,70598500
2017/03/26,9.02,9.65,8.08,63592500
2017/03/27,12.82,15.21,15.62,57047000
2017/03/28,9.98,10.20,8.01,81441500
2017/03/29,10.12,10.67,8.97,74947000
2017/03/30,10.33,11.51,10.04,76009000
2017/03/31,11.75,13.43,12.69,71454000
